id,titulo,tipo,genero,ano,rating,duracion,plataforma,idioma,pais,director,clasificacion,votos,presupuesto,ingresos,ganancias,actor_principal,estudio,fecha_estreno,sinopsis
1,El rey algoritmo Vol. 3,Serie,"Crimen, Terror, Comedia",1981,6.8,52,Netflix,Español,Japón,Quentin Tarantino,PG,130522,13.7,57.7,44.0,Meryl Streep,Warner Bros.,1981-10-20,Una comedia hilarante sobre las complejidades de la vida cotidiana.
2,La teoría de las bases de datos Vol. 4,Película,Terror,2020,8.1,98,"Prime Video, Apple TV+",Francés,Reino Unido,Guillermo del Toro,NC-17,696044,66.8,289.8,223.0,Brad Pitt,Walt Disney Studios,2020-04-08,Un análisis profundo del impacto social e histórico de las grandes eras.
3,La red de la IA (2021),Serie,"Drama, Acción",2021,5.8,40,Prime Video,Portugués,México,James Cameron,NC-17,292718,167.2,676.7,509.5,Cillian Murphy,Netflix Studio,2021-01-25,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
4,El Resplandor del Monitor Vol. 4,Serie,"Suspenso, Aventura",2017,5.6,52,"Disney+, HBO Max",Portugués,Canadá,Hayao Miyazaki,PG,637288,36.6,65.2,28.6,Robert Downey Jr.,Warner Bros.,2017-03-20,Un drama conmovedor que explora los límites de la mente y la tecnología.
5,El Club de la Computación Vol. 3,Serie,"Aventura, Drama, Crimen",1978,5.4,51,Apple TV+,Alemán,Canadá,Guillermo del Toro,G,788425,211.6,845.2,633.6,Leonardo DiCaprio,Walt Disney Studios,1978-01-27,Un misterio escalofriante que desvela secretos familiares ocultos.
6,Parque de Servidores Vol. 3,Película,"Acción, Suspenso, Drama",1972,6.7,189,"HBO Max, Netflix",Español,USA,Martin Scorsese,R,1872998,18.3,22.2,3.9,Cillian Murphy,Warner Bros.,1972-03-28,Un drama conmovedor que explora los límites de la mente y la tecnología.
7,Titanic: Bug Hundido Vol. 3,Serie,"Acción, Documental, Romance",1987,6.7,62,"Disney+, Netflix",Francés,México,Quentin Tarantino,PG-13,765171,66.3,196.2,129.9,Robert Downey Jr.,Marvel Studios,1987-04-27,Un drama conmovedor que explora los límites de la mente y la tecnología.
8,Matrix Reloaded in Python (1980),Serie,"Comedia, Aventura, Crimen",1980,5.0,41,"Netflix, Disney+",Inglés,USA,James Cameron,R,2419604,83.1,222.1,139.0,Joaquin Phoenix,Marvel Studios,1980-04-06,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
9,Django desencadenado (2020),Serie,"Drama, Terror",2020,6.1,52,HBO Max,Inglés,Canadá,Martin Scorsese,PG,2002187,29.5,110.9,81.4,Morgan Freeman,Marvel Studios,2020-04-06,Un drama conmovedor que explora los límites de la mente y la tecnología.
10,Matrix Reloaded in Python Vol. 4,Película,C.Ficción,2004,7.9,89,HBO Max,Español,México,Denis Villeneuve,G,2146343,57.2,21.6,-35.6,Robert Downey Jr.,Universal Pictures,2004-01-08,Un viaje fantástico a través de dimensiones inexploradas del universo.
11,Cazadores de código (1979),Serie,Suspenso,1979,4.8,55,HBO Max,Español,México,Martin Scorsese,PG-13,914810,21.7,90.3,68.6,Leonardo DiCaprio,Columbia Pictures,1979-11-05,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
12,El silencio de los compiladores (1995),Película,"Crimen, Romance",1995,6.8,198,Netflix,Alemán,Francia,James Cameron,PG-13,1127828,215.2,668.4,453.2,Leonardo DiCaprio,Universal Pictures,1995-02-06,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
13,Pandas salvajes (2014),Serie,Acción,2014,7.0,35,Netflix,Español,España,Denis Villeneuve,PG-13,46866,39.1,93.2,54.1,Cillian Murphy,Paramount Pictures,2014-06-18,Una comedia hilarante sobre las complejidades de la vida cotidiana.
14,La lista de bugs Vol. 4,Serie,"Documental, Fantasía",2007,4.9,53,"Apple TV+, Prime Video",Portugués,USA,Steven Spielberg,R,1742295,47.7,135.4,87.7,Natalie Portman,Warner Bros.,2007-05-22,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
15,El Club de la Computación Vol. 4,Serie,"Romance, Terror",2009,5.9,32,"Apple TV+, Disney+",Alemán,Canadá,Martin Scorsese,PG-13,275659,106.1,363.4,257.3,Leonardo DiCaprio,Columbia Pictures,2009-03-19,Un misterio escalofriante que desvela secretos familiares ocultos.
16,La milla de código (1977),Película,"Aventura, Drama",1977,7.0,185,"Apple TV+, HBO Max",Portugués,España,Martin Scorsese,PG,242366,136.0,211.9,75.9,Brad Pitt,A24,1977-01-11,Un misterio escalofriante que desvela secretos familiares ocultos.
17,Juego de Servidores (1973),Serie,"Documental, Terror",1973,5.9,54,"Disney+, Prime Video",Inglés,Canadá,Guillermo del Toro,PG,2032249,92.8,281.3,188.5,Morgan Freeman,Marvel Studios,1973-12-26,Un drama conmovedor que explora los límites de la mente y la tecnología.
18,SQL: El Imperio Contraataca (2019),Serie,Acción,2019,3.4,30,"Prime Video, HBO Max",Francés,España,Denis Villeneuve,G,2489451,133.6,544.9,411.3,Meryl Streep,Warner Bros.,2019-09-17,Una comedia hilarante sobre las complejidades de la vida cotidiana.
19,El Padrino del código (1974),Serie,Romance,1974,5.1,42,"Apple TV+, HBO Max",Francés,México,Quentin Tarantino,PG-13,322050,61.1,217.9,156.8,Robert Downey Jr.,Universal Pictures,1974-04-18,Una comedia hilarante sobre las complejidades de la vida cotidiana.
20,El secreto de los datos Vol. 4,Serie,"Terror, Romance, Drama",1973,5.3,23,"HBO Max, Apple TV+",Español,USA,Hayao Miyazaki,R,1137355,63.1,245.6,182.5,Joaquin Phoenix,A24,1973-02-05,Una comedia hilarante sobre las complejidades de la vida cotidiana.
21,Django desencadenado Vol. 4,Película,"Acción, Aventura, Crimen",1992,5.3,106,"Disney+, HBO Max",Francés,Canadá,Quentin Tarantino,PG,1387811,170.4,124.4,-46.0,Tom Hanks,Netflix Studio,1992-09-12,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
22,Matrix Reloaded in Python Vol. 3,Película,"Comedia, Terror, Aventura",2004,9.2,149,Netflix,Inglés,Japón,Martin Scorsese,PG,360629,117.5,174.3,56.8,Tom Hanks,A24,2004-06-11,Una comedia hilarante sobre las complejidades de la vida cotidiana.
23,Matrix Reloaded in Python (1994),Película,Suspenso,1994,5.5,143,Prime Video,Portugués,Canadá,Guillermo del Toro,NC-17,735479,102.6,163.9,61.3,Tom Hanks,A24,1994-04-22,Un drama conmovedor que explora los límites de la mente y la tecnología.
24,El Resplandor del Monitor (2017),Película,"Suspenso, C.Ficción, Fantasía",2017,7.2,104,Prime Video,Francés,Reino Unido,Hayao Miyazaki,G,1532822,243.6,562.4,318.8,Joaquin Phoenix,Marvel Studios,2017-10-04,Un análisis profundo del impacto social e histórico de las grandes eras.
25,Búsqueda Binaria Vol. 4,Serie,Aventura,2005,2.5,25,"Prime Video, HBO Max",Portugués,Canadá,Martin Scorsese,R,809122,217.9,570.3,352.4,Cillian Murphy,A24,2005-10-19,Un análisis profundo del impacto social e histórico de las grandes eras.
26,La vida en la nube Vol. 4,Película,Documental,2022,4.9,100,"Disney+, HBO Max",Alemán,Francia,Denis Villeneuve,NC-17,998880,181.2,597.1,415.9,Brad Pitt,Paramount Pictures,2022-03-04,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
